month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202203,wisconsin,wi,331500,0.0443,0.1515,4574,-0.0127,-0.1693,47,-0.2734,-0.1468,5504,0.2441,-0.1012,320,0.6667,0.1429,800,-0.0244,-0.0909,6760,0.106,-0.1426,182,0.0376,0.1458,1755,0.0266,0.002,429688,0.0466,0.0692,11357,0.057,-0.1518,1.4779,0.1587,0.046,0
202203,west virginia,wv,184000,0.0363,0.15,2182,-0.0259,-0.2522,64,-0.2349,-0.2485,1624,0.2727,-0.031,108,-0.2286,-0.0357,420,0.0825,-0.1393,2310,0.0774,-0.0994,107,0.0206,0.1442,1751,0.0264,0.0237,312938,-0.0335,0.242,4468,0.0166,-0.1851,1.0587,0.1015,0.1796,0
202203,alaska,ak,387450,0.0516,0.1869,733,0.0209,-0.3676,43,-0.4342,-0.2321,628,0.4018,0.0261,64,0.0667,-0.2,112,0.1667,-0.44,87,0.2794,-0.2232,217,0.01,0.1257,1783,0.0244,0.0464,475211,0.0321,0.1532,817,0.0394,-0.3577,0.1187,0.024,0.0221,0
202203,michigan,mi,241950,0.0638,-0.032,10505,1.00E-04,-0.0702,39,-0.25,-0.1236,10848,0.3045,-0.0444,652,0.0867,-0.185,2264,0.132,0.167,8755,0.0278,-0.1297,156,0.0454,0.0345,1532,0.0089,-0.0572,377418,0.022,-0.0337,19260,0.0125,-0.0974,0.8334,0.0225,-0.057,0
202203,arizona,az,477871,0.0157,0.1948,6774,-0.0135,0.0538,33,-0.0714,-0.0441,11948,0.0536,-0.0532,1112,-0.0347,-0.1677,2140,0.1169,0.205,16313,-0.01,-0.0551,264,0.0372,0.2254,1917,-0.006,-0.0229,778763,0.0269,0.0719,23022,-0.0138,-0.0302,2.4082,0.0086,-0.2776,1
202203,wyoming,wy,347450,0.0189,0.2869,972,-0.027,-0.3097,52,-0.2695,-0.1694,640,0.1111,-0.1878,32,-0.2,-0.4286,136,0,-0.2609,715,0.0273,-0.2047,160,0.0299,0.246,2175,0.0088,0.024,808599,-0.0322,0.2215,1690,-0.0012,-0.2719,0.7356,0.0389,0.0971,0
202203,ohio,oh,203375,0.0993,0.0171,8761,-0.0717,-0.089,42,-0.2783,-0.1075,13164,0.3039,-0.0208,860,0.4145,0.0539,2504,0.0347,-0.0848,16364,0.0864,-0.0774,123,0.0549,0.0821,1633,0.0245,-0.0405,310635,0.0414,0.0087,25119,0.0243,-0.0807,1.8678,0.2718,0.0236,0
202203,montana,mt,550000,0,0.3095,1618,-0.0146,-0.1348,66,-0.2326,0,1280,0.0596,-0.1816,76,1.1111,0.1176,192,0.1163,-0.0769,2230,0.069,-0.2371,288,0.0335,0.3408,2025,-0.0165,-0.0453,1133284,-0.0205,0.2186,3847,0.0319,-0.1975,1.3782,0.1078,-0.1849,1
202203,nebraska,ne,299900,0,0.1118,1744,-0.0333,-0.1563,43,-0.1414,-0.2544,2268,0.1715,0.0089,140,0.0938,-0.4531,256,-0.0154,-0.1111,3619,0.1225,-0.1145,154,0.0035,0.1543,1943,-0.0094,-0.036,381067,0.0196,0.1368,5376,0.0675,-0.1266,2.0751,0.288,0.0979,0
202203,louisiana,la,282500,0.0465,0.0834,5768,-0.0019,-0.2862,54,-0.2015,-0.1705,4960,0.0839,-0.0373,292,0.1061,-0.3596,1688,0.1018,-0.0786,7810,-0.0038,0.0061,144,0.0289,0.1143,1921,0.0113,-0.0151,395848,0.0225,0.0792,13569,-0.0045,-0.1346,1.354,-0.0026,0.3934,0
